sku;name;stock;cost_price;price;min_stock
15W40;OLEO 15W40 SEMISINTETICO FALUB (REF 15W40);72;19,49;19,49;0
5W30;OLEO 5W30 SINTETICO FALUB (REF 5W30);72;22,13;22,13;0
WO340;FILTRO DE OLEO VW GOL WEGA (REF PSL560);10;11,85;11,85;0
