sku;name;stock;cost_price;price;min_stock
1J0407181;BUCHA DA BANDEJA DIANT AUDI A3 / VW (BORA/CROSSFOX/FOX/GOL/GOLF/SAVEIRO 97>) - VOLKSWAGEN (REF MB365A);4;25,50;25,50;0
C-3411;CILINDRO DE RODA FIAT (PALIO/STRADA/FIORINO/IDEA/MAREA/BRAVA/STILO 92/..) - CONTROIL (REF C-3411);2;42,75;42,75;0
FF4500;FLUIDO PARA FREIOS DOT 4 500ML - NCA (REF DOT4);5;13,94;13,94;0
032121026CN;CARCAÇA DA VÁLVULA VW GOL (G5/G6/SAVEIRO/FOX 1.0/1.6 8V 08/..) C/ SENSOR CINZA + AR QUENTE (3 SAÍDAS) - VOLKSWAGEN (REF 032121026CN);4;225,00;225,00;0
MG164;ANTI CHAMA VW GOL (G3/G4/G5/G6/FOX/SAVEIRO/VOYAGE/POLO 1.0 8V/16V) - MG PEÇAS AUTOMOTIVAS (REF 7011);3;29,99;29,99;0
10V25P;CABO DE VELA VW GOL (G2/G3/G4/G5/G6/FOX/SAVEIRO/VOYAGE 1.0/1.6 8V) - PERFECT POWER (REF STV25);2;72,00;72,00;0
XS10563;CABO DE VELA FIAT FIRE TODOS (UNO/PALIO/SIENA/STRADA 1.0/1.4) - DELPHI (REF SCT09);2;46,40;46,40;0
K7RTCMM;VELA DE IGNIÇÃO VW (GOL/FOX/SAVEIRO/PARATI/VOYAGE/POLO 1.0/1.6 8V 05/..) - MAGNET MARELLI (REF BKR7ESB-D);2;54,40;54,40;0
MB9012A;COXIM DO AMORTECEDOR VW GOL (G6/G7/NIVUS/POLO/SAVEIRO/T-CROSS/UP!/VIRTUS/VOYAGE) - MOBENSANI (REF MB9012A);2;69,12;69,12;0
NZT4529;ROLAMENTO RODA TRAS. VW (GOL/SAVEIRO/SANTANA/VOYAGE G1/G2/G3/G4/G5) KIT - FORTKITS (REF VKBA4529A);2;28,00;28,00;0
620312700;KIT EMBREAGEM VW (FOX/CROSSFOX/GOL/TREND/GOLF/POLO/CLASSIC/SAVEIRO) - LUK. (REF 620.3127.00);1;412,97;412,97;0
CQ2677CPA;SAPATA DE FREIO VW (GOL/VOYAGE/PARATI/GOLF/FOX/UP) - COBREQ (REF SYL-208000);1;121,50;121,50;0
SYL2185;PASTILHA DE FREIO FIAT (LINEA/ARGO/BRAVO/CRONOS/DOBLO/PUNTO) - SYL (REF PD92);1;84,75;84,75;0
SYL1042;PASTILHA DE FREIO VW (GOL G6/FOX/GOLF/POLO/BORA/SPACEFOX/VIRTUS/UP! 1.0/1.6) - SYL (REF PD58);1;69,00;69,00;0
SYL1195;PASTILHA DE FREIO FIAT (PALIO/SIENA/WEEKEND/YOUNG 98/09) DIANT. (HQC-2154) - SYL (REF PD60);1;35,20;35,20;0
680003;TERMINAL AXIAL FIAT UNO/FIORINO 92/13 ELBA 91/96 (FÊMEA) - VIEMAR (REF 680003);2;31,20;31,20;0
KBT4067;BIELETA VW (GOL/FOX/SAVEIRO/VOYAGE/POLO/NIVUS/UP!/T-CROSS) - PERFECT AUTOMOTIVE (REF N1068);2;26,80;26,80;0
252010;BOMBA D'AGUA GM (CORSA/CELTA/CLASSIC/ONIX/PRISMA/AGILE/COBALT/MERIVA) - INDISA (REF UB167);1;63,23;63,23;0
VKJA41009A;JUNTA HOMOCINÉTICA VW GOL/PARATI 97/13 (S/ ABS) - SKF DO BRASIL (REF JHC01112);1;130,50;130,50;0
CT848;CORREIA DENTADA VW MOTOR AP TODOS C/ HNBR (121SX180H) - CONTINENTAL (REF CT848);1;56,32;56,32;0
KL582_2;FILTRO DE COMBUSTIVEL FIAT FIRE TODOS - MAHLE (REF GI04/7);2;12,00;12,00;0
